item,brand,category,gender,time_of_delivery_days,price,size,color,style,warmth,waterproof,current_day,url,image
Men's Burton [ak]® Freebird GORE-TEX 3L Stretch Bib Pants,Burton,pants,Men,6,669.95,S,Black,Other,3,0,2/7/26,https://www.burton.com/us/en/p/mens-burton-ak-freebird-gore-tex-3l-stretch-bib-pants/W26-100241.html?dwvar_W26-100241_variationColor=AH2,product_images/burton_pants_men_s_burton_ak_freebird_gore_tex_3l_stretch_bib_pants_black.jpg
Men's Burton [ak]® Freebird GORE-TEX 3L Stretch Bib Pants,Burton,pants,Men,6,669.95,M,Black,Other,3,0,2/7/26,https://www.burton.com/us/en/p/mens-burton-ak-freebird-gore-tex-3l-stretch-bib-pants/W26-100241.html?dwvar_W26-100241_variationColor=AH2,product_images/burton_pants_men_s_burton_ak_freebird_gore_tex_3l_stretch_bib_pants_black.jpg
Men's Burton [ak]® Freebird GORE-TEX 3L Stretch Bib Pants,Burton,pants,Men,6,669.95,L,Black,Other,3,0,2/7/26,https://www.burton.com/us/en/p/mens-burton-ak-freebird-gore-tex-3l-stretch-bib-pants/W26-100241.html?dwvar_W26-100241_variationColor=AH2,product_images/burton_pants_men_s_burton_ak_freebird_gore_tex_3l_stretch_bib_pants_black.jpg
Men's Burton [ak]® Freebird GORE-TEX 3L Stretch Bib Pants,Burton,pants,Men,6,669.95,XL,Black,Other,3,0,2/7/26,https://www.burton.com/us/en/p/mens-burton-ak-freebird-gore-tex-3l-stretch-bib-pants/W26-100241.html?dwvar_W26-100241_variationColor=AH2,product_images/burton_pants_men_s_burton_ak_freebird_gore_tex_3l_stretch_bib_pants_black.jpg
Men's Burton [ak]® Freebird GORE-TEX 3L Stretch Bib Pants,Burton,pants,Men,6,669.95,XXL,Black,Other,3,0,2/7/26,https://www.burton.com/us/en/p/mens-burton-ak-freebird-gore-tex-3l-stretch-bib-pants/W26-100241.html?dwvar_W26-100241_variationColor=AH2,product_images/burton_pants_men_s_burton_ak_freebird_gore_tex_3l_stretch_bib_pants_black.jpg
Men's Burton [ak]® LZ GORE-TEX 2L Down Jacket,Burton,jacket,Men,6,724.95,S,White,Other,3,0,2/7/26,https://www.burton.com/us/en/p/mens-burton-ak-lz-gore-tex-2l-down-jacket/W26-100061.html?dwvar_W26-100061_variationColor=A04,product_images/burton_jacket_men_s_burton_ak_lz_gore_tex_2l_down_jacket_white.jpg
Men's Burton [ak]® LZ GORE-TEX 2L Down Jacket,Burton,jacket,Men,6,724.95,M,White,Other,3,0,2/7/26,https://www.burton.com/us/en/p/mens-burton-ak-lz-gore-tex-2l-down-jacket/W26-100061.html?dwvar_W26-100061_variationColor=A04,product_images/burton_jacket_men_s_burton_ak_lz_gore_tex_2l_down_jacket_white.jpg
Men's Burton [ak]® LZ GORE-TEX 2L Down Jacket,Burton,jacket,Men,6,724.95,L,White,Other,3,0,2/7/26,https://www.burton.com/us/en/p/mens-burton-ak-lz-gore-tex-2l-down-jacket/W26-100061.html?dwvar_W26-100061_variationColor=A04,product_images/burton_jacket_men_s_burton_ak_lz_gore_tex_2l_down_jacket_white.jpg
Men's Burton [ak]® LZ GORE-TEX 2L Down Jacket,Burton,jacket,Men,6,724.95,XL,White,Other,3,0,2/7/26,https://www.burton.com/us/en/p/mens-burton-ak-lz-gore-tex-2l-down-jacket/W26-100061.html?dwvar_W26-100061_variationColor=A04,product_images/burton_jacket_men_s_burton_ak_lz_gore_tex_2l_down_jacket_white.jpg
Men's Burton [ak]® LZ GORE-TEX 2L Down Jacket,Burton,jacket,Men,6,724.95,XXL,White,Other,3,0,2/7/26,https://www.burton.com/us/en/p/mens-burton-ak-lz-gore-tex-2l-down-jacket/W26-100061.html?dwvar_W26-100061_variationColor=A04,product_images/burton_jacket_men_s_burton_ak_lz_gore_tex_2l_down_jacket_white.jpg
