item,brand,category,gender,time_of_delivery_days,price,size,color,style,warmth,waterproof,current_day,url,image
MENS TRAVERSE GTX,Spyder,gloves,Men,6,99,S,Black,Insulated,4,4,2/7/26,https://www.spyder.com/products/traverse-gtx-gloves-black-1,product_images/spyder_gloves_mens_traverse_gtx_black.jpg
MENS TRAVERSE GTX,Spyder,gloves,Men,6,99,M,Black,Insulated,4,4,2/7/26,https://www.spyder.com/products/traverse-gtx-gloves-black-1,product_images/spyder_gloves_mens_traverse_gtx_black.jpg
MENS TRAVERSE GTX,Spyder,gloves,Men,6,99,L,Black,Insulated,4,4,2/7/26,https://www.spyder.com/products/traverse-gtx-gloves-black-1,product_images/spyder_gloves_mens_traverse_gtx_black.jpg
MENS TRAVERSE GTX,Spyder,gloves,Men,6,99,XL,Black,Insulated,4,4,2/7/26,https://www.spyder.com/products/traverse-gtx-gloves-black-1,product_images/spyder_gloves_mens_traverse_gtx_black.jpg
MENS PROSPECT HALF ZIP T-NECK,Spyder,base_top,Men,6,99,S,Grey,Baselayer,3,0,2/7/26,https://www.spyder.com/products/mens-prospect-half-zip-storm,product_images/spyder_base_top_mens_prospect_half_zip_t_neck_grey.jpg
MENS PROSPECT HALF ZIP T-NECK,Spyder,base_top,Men,6,99,M,Grey,Baselayer,3,0,2/7/26,https://www.spyder.com/products/mens-prospect-half-zip-storm,product_images/spyder_base_top_mens_prospect_half_zip_t_neck_grey.jpg
MENS PROSPECT HALF ZIP T-NECK,Spyder,base_top,Men,6,99,L,Grey,Baselayer,3,0,2/7/26,https://www.spyder.com/products/mens-prospect-half-zip-storm,product_images/spyder_base_top_mens_prospect_half_zip_t_neck_grey.jpg
MENS PROSPECT HALF ZIP T-NECK,Spyder,base_top,Men,6,99,XL,Grey,Baselayer,3,0,2/7/26,https://www.spyder.com/products/mens-prospect-half-zip-storm,product_images/spyder_base_top_mens_prospect_half_zip_t_neck_grey.jpg
MENS PROSPECT HALF ZIP T-NECK,Spyder,base_top,Men,6,99,XXL,Grey,Baselayer,3,0,2/7/26,https://www.spyder.com/products/mens-prospect-half-zip-storm,product_images/spyder_base_top_mens_prospect_half_zip_t_neck_grey.jpg
Men’s Montana Ski Gloves,The North Face,gloves,Men,5,65,S,Black,Insulated,4,4,2/7/26,https://www.thenorthface.com/en-us/p/shop-all/snow-347788/mens-montana-ski-gloves-NF0A89QG?color=JK3,product_images/the_north_face_gloves_mens_montana_ski_gloves_black.jpg
Men’s Montana Ski Gloves,The North Face,gloves,Men,5,65,M,Black,Insulated,4,4,2/7/26,https://www.thenorthface.com/en-us/p/shop-all/snow-347788/mens-montana-ski-gloves-NF0A89QG?color=JK3,product_images/the_north_face_gloves_mens_montana_ski_gloves_black.jpg
Men’s Montana Ski Gloves,The North Face,gloves,Men,5,65,L,Black,Insulated,4,4,2/7/26,https://www.thenorthface.com/en-us/p/shop-all/snow-347788/mens-montana-ski-gloves-NF0A89QG?color=JK3,product_images/the_north_face_gloves_mens_montana_ski_gloves_black.jpg
Men’s Montana Ski Gloves,The North Face,gloves,Men,5,65,XL,Black,Insulated,4,4,2/7/26,https://www.thenorthface.com/en-us/p/shop-all/snow-347788/mens-montana-ski-gloves-NF0A89QG?color=JK3,product_images/the_north_face_gloves_mens_montana_ski_gloves_black.jpg
Men’s Montana Ski Gloves,The North Face,gloves,Men,5,65,XXL,Black,Insulated,4,4,2/7/26,https://www.thenorthface.com/en-us/p/shop-all/snow-347788/mens-montana-ski-gloves-NF0A89QG?color=JK3,product_images/the_north_face_gloves_mens_montana_ski_gloves_black.jpg
Expedition Parka,Canada Goose,jacket,Men,5,1675,XS,Grey,Other,3,0,2/7/26,https://www.canadagoose.com/us/en/pr/expedition-parka-2051M.html?Color=9431,product_images/canada_goose_jacket_expedition_parka_grey.jpg
Expedition Parka,Canada Goose,jacket,Men,5,1675,S,Grey,Other,3,0,2/7/26,https://www.canadagoose.com/us/en/pr/expedition-parka-2051M.html?Color=9431,product_images/canada_goose_jacket_expedition_parka_grey.jpg
Expedition Parka,Canada Goose,jacket,Men,5,1675,M,Grey,Other,3,0,2/7/26,https://www.canadagoose.com/us/en/pr/expedition-parka-2051M.html?Color=9431,product_images/canada_goose_jacket_expedition_parka_grey.jpg
Expedition Parka,Canada Goose,jacket,Men,5,1675,L,Grey,Other,3,0,2/7/26,https://www.canadagoose.com/us/en/pr/expedition-parka-2051M.html?Color=9431,product_images/canada_goose_jacket_expedition_parka_grey.jpg
Expedition Parka,Canada Goose,jacket,Men,5,1675,XL,Grey,Other,3,0,2/7/26,https://www.canadagoose.com/us/en/pr/expedition-parka-2051M.html?Color=9431,product_images/canada_goose_jacket_expedition_parka_grey.jpg
Expedition Parka,Canada Goose,jacket,Men,5,1675,XXL,Grey,Other,3,0,2/7/26,https://www.canadagoose.com/us/en/pr/expedition-parka-2051M.html?Color=9431,product_images/canada_goose_jacket_expedition_parka_grey.jpg
