item,brand,category,gender,time_of_delivery_days,price,size,color,style,warmth,waterproof,current_day,url,image
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120,XL,Black,Baselayer,3,0,2/7/26,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arc_teryx_base_bottom_rho_lt_bottom_men_s_black.jpg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120,XXL,Black,Baselayer,3,0,2/7/26,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arc_teryx_base_bottom_rho_lt_bottom_men_s_black.jpg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120,XS,Grey,Baselayer,3,0,2/7/26,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arc_teryx_base_bottom_rho_lt_bottom_men_s_grey.jpg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120,S,Grey,Baselayer,3,0,2/7/26,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arc_teryx_base_bottom_rho_lt_bottom_men_s_grey.jpg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120,M,Grey,Baselayer,3,0,2/7/26,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arc_teryx_base_bottom_rho_lt_bottom_men_s_grey.jpg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120,L,Grey,Baselayer,3,0,2/7/26,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arc_teryx_base_bottom_rho_lt_bottom_men_s_grey.jpg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120,XL,Grey,Baselayer,3,0,2/7/26,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arc_teryx_base_bottom_rho_lt_bottom_men_s_grey.jpg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120,XXL,Grey,Baselayer,3,0,2/7/26,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arc_teryx_base_bottom_rho_lt_bottom_men_s_grey.jpg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120,XS,Red,Baselayer,3,0,2/7/26,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arc_teryx_base_bottom_rho_lt_bottom_men_s_red.jpg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120,S,Red,Baselayer,3,0,2/7/26,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arc_teryx_base_bottom_rho_lt_bottom_men_s_red.jpg
